index,한계기업,ROA(영업이익)(%)1,ROA(영업이익)(%)2,ROA(영업이익)(%)3,ROA(세전계속사업이익)(%)1,ROA(세전계속사업이익)(%)2,ROA(세전계속사업이익)(%)3,ROA(당기순이익)(%)1,ROA(당기순이익)(%)2,ROA(당기순이익)(%)3,ROA(총포괄이익)(%)1,ROA(총포괄이익)(%)2,ROA(총포괄이익)(%)3,ROE(영업이익)(%)1,ROE(영업이익)(%)2,ROE(영업이익)(%)3,ROE(세전계속사업이익)(%)1,ROE(세전계속사업이익)(%)2,ROE(세전계속사업이익)(%)3,ROE(당기순이익)(%)1,ROE(당기순이익)(%)2,ROE(당기순이익)(%)3,부채비율(%)1,부채비율(%)2,부채비율(%)3,자기자본현금흐름률(%)1,자기자본현금흐름률(%)2,자기자본현금흐름률(%)3,현금흐름/영업수익(%)1,현금흐름/영업수익(%)2,현금흐름/영업수익(%)3,현금흐름/총부채(%)1,현금흐름/총부채(%)2,현금흐름/총부채(%)3,현금흐름/총자본(%)1,현금흐름/총자본(%)2,현금흐름/총자본(%)3,현금흐름/총자산(%)1,현금흐름/총자산(%)2,현금흐름/총자산(%)3,현금흐름/총차입부채(%)1,현금흐름/총차입부채(%)2,현금흐름/총차입부채(%)3,총자산회전율(회)1,총자산회전율(회)2,총자산회전율(회)3,자본금회전율(회)1,자본금회전율(회)2,자본금회전율(회)3,총부채회전율(회)1,총부채회전율(회)2,총부채회전율(회)3,총자본회전율(회)1,총자본회전율(회)2,총자본회전율(회)3,총부채증가율(전년동기)(%)1,총부채증가율(전년동기)(%)2,총부채증가율(전년동기)(%)3,총자산증가율(전년동기)(%)1,총자산증가율(전년동기)(%)2,총자산증가율(전년동기)(%)3,매출액증가율(전년동기)(%)1,매출액증가율(전년동기)(%)2,매출액증가율(전년동기)(%)3,국고채 3년(평균)-%1,국고채 3년(평균)-%2,국고채 3년(평균)-%3,경상수지(백만불)-값1,경상수지(백만불)-값2,경상수지(백만불)-값3,소비자물가지수(CPI)-값1,소비자물가지수(CPI)-값2,소비자물가지수(CPI)-값3,실업률(15세 이상)-%1,실업률(15세 이상)-%2,실업률(15세 이상)-%3,코스닥 지수(연월말)-값1,코스닥 지수(연월말)-값2,코스닥 지수(연월말)-값3,환율-값1,환율-값2,환율-값3,WTI등락률-%1,WTI등락률-%2,WTI등락률-%3,국내총생산(명목GDP)1,국내총생산(명목GDP)2,국내총생산(명목GDP)3
0,1,4.39,-5.6,-12.43,-1.81,-12.47,-20.94,-12.68,-16.58,-25.04,-12.7,-16.57,-24.85,11.3,-13.65,-28.85,-4.67,-30.39,-48.6,-32.67,-40.39,-58.12,156.0,131.54,132.89,-26.02,-22.81,-34.95,-8.14,-8.79,-30.21,-15.71,-14.78,-25.66,-24.75,-21.23,-33.9,-9.61,-8.71,-14.6,-21.84,-21.86,-40.4,1.18,0.99,0.48,7.64,5.01,1.76,1.93,1.68,0.85,3.04,2.41,1.12,-15.31,-14.11,-27.45,-14.69,-7.87,-27.77,55.19,-25.71,-59.71,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
1,1,-5.6,-12.43,0.8,-12.47,-20.94,-3.98,-16.58,-25.04,-7.19,-16.57,-24.85,-7.17,-13.65,-28.85,1.88,-30.39,-48.6,-9.34,-40.39,-58.12,-16.86,131.54,132.89,135.67,-22.81,-34.95,-5.52,-8.79,-30.21,-2.98,-14.78,-25.66,-4.27,-21.23,-33.9,-5.74,-8.71,-14.6,-2.45,-21.86,-40.4,-6.09,0.99,0.48,0.82,5.01,1.76,2.82,1.68,0.85,1.43,2.41,1.12,1.93,-14.11,-27.45,51.6,-7.87,-27.77,50.27,-25.71,-59.71,78.71,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
2,1,-12.43,0.8,-4.98,-20.94,-3.98,8.83,-25.04,-7.19,8.73,-24.85,-7.17,9.1,-28.85,1.88,-8.68,-48.6,-9.34,15.39,-58.12,-16.86,15.21,132.89,135.67,61.88,-34.95,-5.52,26.5,-30.21,-2.98,37.42,-25.66,-4.27,28.22,-33.9,-5.74,20.95,-14.6,-2.45,12.02,-40.4,-6.09,63.15,0.48,0.82,0.32,1.76,2.82,2.46,0.85,1.43,0.75,1.12,1.93,0.56,-27.45,51.6,126.64,-27.77,50.27,241.32,-59.71,78.71,3.43,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
3,1,0.8,-4.98,-11.3,-3.98,8.83,-12.5,-7.19,8.73,-12.5,-7.17,9.1,-12.32,1.88,-8.68,-17.62,-9.34,15.39,-19.5,-16.86,15.21,-19.5,135.67,61.88,50.48,-5.52,26.5,-13.4,-2.98,37.42,-38.54,-4.27,28.22,-17.41,-5.74,20.95,-9.74,-2.45,12.02,-6.25,-6.09,63.15,-64.54,0.82,0.32,0.16,2.82,2.46,1.72,1.43,0.75,0.45,1.93,0.56,0.25,51.6,126.64,-11.51,50.27,241.32,0.83,78.71,3.43,-21.64,2.59,1.79,1.44,83030.0,105119.0,97924.0,94.196,94.861,95.783,3.5,3.6,3.7,542.97,682.35,631.44,1092.9,1174.95,1206.25,-0.4597,-0.3047,0.4505,1562928.9,1658020.4,1740779.6
4,1,-4.98,-11.3,-13.93,8.83,-12.5,-17.79,8.73,-12.5,-11.38,9.1,-12.32,-12.75,-8.68,-17.62,-21.97,15.39,-19.5,-28.06,15.21,-19.5,-17.94,61.88,50.48,65.55,26.5,-13.4,-17.96,37.42,-38.54,-64.78,28.22,-17.41,-21.73,20.95,-9.74,-12.54,12.02,-6.25,-7.95,63.15,-64.54,-60.51,0.32,0.16,0.12,2.46,1.72,1.27,0.75,0.45,0.34,0.56,0.25,0.19,126.64,-11.51,18.97,241.32,0.83,0.8,3.43,-21.64,-23.66,1.79,1.44,1.8,105119.0,97924.0,75231.0,94.861,95.783,97.645,3.6,3.7,3.7,682.35,631.44,798.42,1174.95,1206.25,1066.37,-0.3047,0.4505,0.1247,1658020.4,1740779.6,1835698.2
5,1,-11.3,-13.93,-11.91,-12.5,-17.79,5.49,-12.5,-11.38,5.49,-12.32,-12.75,7.6,-17.62,-21.97,-18.14,-19.5,-28.06,8.36,-19.5,-17.94,8.37,50.48,65.55,45.11,-13.4,-17.96,21.21,-38.54,-64.78,73.82,-17.41,-21.73,31.61,-9.74,-12.54,16.53,-6.25,-7.95,10.85,-64.54,-60.51,58.8,0.16,0.12,0.15,1.72,1.27,1.92,0.45,0.34,0.43,0.25,0.19,0.22,-11.51,18.97,26.84,0.83,0.8,61.56,-21.64,-23.66,57.28,1.44,1.8,2.1,97924.0,75231.0,77467.0,95.783,97.645,99.086,3.7,3.7,3.8,631.44,798.42,675.65,1206.25,1066.37,1113.3,0.4505,0.1247,-0.2487,1740779.6,1835698.2,1898192.6
6,1,-13.93,-11.91,-14.62,-17.79,5.49,-17.93,-11.38,5.49,-17.9,-12.75,7.6,-15.53,-21.97,-18.14,-24.44,-28.06,8.36,-29.97,-17.94,8.37,-29.92,65.55,45.11,91.61,-17.96,21.21,-23.48,-64.78,73.82,-109.87,-21.73,31.61,-31.51,-12.54,16.53,-21.17,-7.95,10.85,-12.66,-60.51,58.8,-58.78,0.12,0.15,0.12,1.27,1.92,1.88,0.34,0.43,0.29,0.19,0.22,0.19,18.97,26.84,83.43,0.8,61.56,19.26,-23.66,57.28,6.18,1.8,2.1,1.53,75231.0,77467.0,59376.0,97.645,99.086,99.466,3.7,3.8,3.8,798.42,675.65,669.83,1066.37,1113.3,1154.07,0.1247,-0.2487,0.3446,1835698.2,1898192.6,1924498.1
11,0,3.1,1.86,2.16,1.79,1.24,1.05,1.74,1.3,0.75,1.74,1.28,0.75,4.85,3.56,4.6,2.8,2.37,2.22,2.73,2.49,1.6,68.46,110.53,114.56,4.03,3.3,2.25,10.93,10.03,6.96,7.11,3.6,2.0,4.03,3.3,2.25,2.57,1.72,1.06,15.29,7.63,2.69,0.24,0.17,0.15,7.57,7.11,7.38,0.65,0.36,0.29,0.37,0.33,0.32,59.35,97.92,11.01,20.86,53.2,9.16,11.16,1.02,12.11,3.62,3.13,2.79,16638.0,48791.0,77259.0,89.85,91.815,93.01,3.4,3.2,3.1,500.0,496.32,499.99,1159.25,1063.64,1049.5,0.08152768658,-0.07092987959,0.0719,1388937.2,1440111.4,1500819.1
12,0,1.86,2.16,2.16,1.24,1.05,1.53,1.3,0.75,1.52,1.28,0.75,1.52,3.56,4.6,4.36,2.37,2.22,3.09,2.49,1.6,3.07,110.53,114.56,91.75,3.3,2.25,3.69,10.03,6.96,10.57,3.6,2.0,3.62,3.3,2.25,3.69,1.72,1.06,1.83,7.63,2.69,3.99,0.17,0.15,0.17,7.11,7.38,8.02,0.36,0.29,0.34,0.33,0.32,0.35,97.92,11.01,1.97,53.2,9.16,13.78,1.02,12.11,26.75,3.13,2.79,2.59,48791.0,77259.0,83030.0,91.815,93.01,94.196,3.2,3.1,3.5,496.32,499.99,542.97,1063.64,1049.5,1092.9,-0.07092987959,0.0719,-0.4597,1440111.4,1500819.1,1562928.9
13,0,2.16,2.16,-3.24,1.05,1.53,-5.01,0.75,1.52,-3.65,0.75,1.52,-3.66,4.6,4.36,-6.65,2.22,3.09,-10.27,1.6,3.07,-7.48,114.56,91.75,119.88,2.25,3.69,-5.29,6.96,10.57,-14.41,2.0,3.62,-5.04,2.25,3.69,-5.29,1.06,1.83,-2.58,2.69,3.99,-5.6,0.15,0.17,0.18,7.38,8.02,7.52,0.29,0.34,0.35,0.32,0.35,0.37,11.01,1.97,17.18,9.16,13.78,2.84,12.11,26.75,11.97,2.79,2.59,1.79,77259.0,83030.0,105119.0,93.01,94.196,94.861,3.1,3.5,3.6,499.99,542.97,682.35,1049.5,1092.9,1174.95,0.0719,-0.4597,-0.3047,1500819.1,1562928.9,1658020.4
