index,한계기업,Symbol,Name,ROA(영업이익)(%)1,ROA(영업이익)(%)2,ROA(영업이익)(%)3,ROA(세전계속사업이익)(%)1,ROA(세전계속사업이익)(%)2,ROA(세전계속사업이익)(%)3,ROA(당기순이익)(%)1,ROA(당기순이익)(%)2,ROA(당기순이익)(%)3,ROA(총포괄이익)(%)1,ROA(총포괄이익)(%)2,ROA(총포괄이익)(%)3,ROE(영업이익)(%)1,ROE(영업이익)(%)2,ROE(영업이익)(%)3,ROE(세전계속사업이익)(%)1,ROE(세전계속사업이익)(%)2,ROE(세전계속사업이익)(%)3,ROE(당기순이익)(%)1,ROE(당기순이익)(%)2,ROE(당기순이익)(%)3,부채비율(%)1,부채비율(%)2,부채비율(%)3,자기자본현금흐름률(%)1,자기자본현금흐름률(%)2,자기자본현금흐름률(%)3,현금흐름/영업수익(%)1,현금흐름/영업수익(%)2,현금흐름/영업수익(%)3,현금흐름/총부채(%)1,현금흐름/총부채(%)2,현금흐름/총부채(%)3,현금흐름/총자본(%)1,현금흐름/총자본(%)2,현금흐름/총자본(%)3,현금흐름/총자산(%)1,현금흐름/총자산(%)2,현금흐름/총자산(%)3,현금흐름/총차입부채(%)1,현금흐름/총차입부채(%)2,현금흐름/총차입부채(%)3,총자산회전율(회)1,총자산회전율(회)2,총자산회전율(회)3,자본금회전율(회)1,자본금회전율(회)2,자본금회전율(회)3,총부채회전율(회)1,총부채회전율(회)2,총부채회전율(회)3,총자본회전율(회)1,총자본회전율(회)2,총자본회전율(회)3,총부채증가율(전년동기)(%)1,총부채증가율(전년동기)(%)2,총부채증가율(전년동기)(%)3,총자산증가율(전년동기)(%)1,총자산증가율(전년동기)(%)2,총자산증가율(전년동기)(%)3,매출액증가율(전년동기)(%)1,매출액증가율(전년동기)(%)2,매출액증가율(전년동기)(%)3,국고채 3년(평균)-%1,국고채 3년(평균)-%2,국고채 3년(평균)-%3,경상수지(백만불)-값1,경상수지(백만불)-값2,경상수지(백만불)-값3,소비자물가지수(CPI)-값1,소비자물가지수(CPI)-값2,소비자물가지수(CPI)-값3,실업률(15세 이상)-%1,실업률(15세 이상)-%2,실업률(15세 이상)-%3,코스닥 지수(연월말)-값1,코스닥 지수(연월말)-값2,코스닥 지수(연월말)-값3,환율-값1,환율-값2,환율-값3,WTI등락률-%1,WTI등락률-%2,WTI등락률-%3,국내총생산(명목GDP)1,국내총생산(명목GDP)2,국내총생산(명목GDP)3
0,1,A028300,HLB,4.39,-5.6,-12.43,-1.81,-12.47,-20.94,-12.68,-16.58,-25.04,-12.7,-16.57,-24.85,11.3,-13.65,-28.85,-4.67,-30.39,-48.6,-32.67,-40.39,-58.12,156,131.54,132.89,-26.02,-22.81,-34.95,-8.14,-8.79,-30.21,-15.71,-14.78,-25.66,-24.75,-21.23,-33.9,-9.61,-8.71,-14.6,-21.84,-21.86,-40.4,1.18,0.99,0.48,7.64,5.01,1.76,1.93,1.68,0.85,3.04,2.41,1.12,-15.31,-14.11,-27.45,-14.69,-7.87,-27.77,55.19,-25.71,-59.71,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
1,0,A068760,셀트리온제약,3.1,1.86,2.16,1.79,1.24,1.05,1.74,1.3,0.75,1.74,1.28,0.75,4.85,3.56,4.6,2.8,2.37,2.22,2.73,2.49,1.6,68.46,110.53,114.56,4.03,3.3,2.25,10.93,10.03,6.96,7.11,3.6,2,4.03,3.3,2.25,2.57,1.72,1.06,15.29,7.63,2.69,0.24,0.17,0.15,7.57,7.11,7.38,0.65,0.36,0.29,0.37,0.33,0.32,59.35,97.92,11.01,20.86,53.2,9.16,11.16,1.02,12.11,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
2,0,A096530,씨젠,16.88,15.08,13.25,16.82,12.87,11.28,15.56,11.23,9,14.91,11.04,9.1,28.07,29.58,22.3,27.98,25.24,18.97,25.88,22.02,15.15,92.69,99.38,52.81,30.91,27.81,20.27,28.34,22.23,21.71,46.58,28.95,29.69,30.91,27.81,20.27,18.58,14.18,12.04,62.92,37.32,40.01,0.66,0.64,0.55,6.05,7.9,7.88,1.64,1.3,1.37,1.09,1.25,0.93,270.39,10.39,6.99,88.15,6.53,54.32,60.28,31.25,14.08,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
3,0,A035760,CJ ENM,14.12,12.01,9.52,11.24,11.56,8.51,6.89,8.64,6.14,6.82,8.72,6.13,48.01,32.8,24.53,38.21,31.57,21.92,23.44,23.61,15.82,198.41,155.63,159.24,62.26,64.23,55.81,16.29,17.3,14.98,20.69,25.05,22.69,49.66,43.38,35.76,14.6,15.88,13.88,34.54,46.93,38.74,0.9,0.92,0.93,52.07,64.22,81.02,1.27,1.45,1.51,3.05,2.51,2.39,5.98,12.5,27.78,20.39,22.87,26.65,28.35,24.67,26.18,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
4,0,A086520,에코프로,2.9,3.27,0.75,0.23,0.32,-3.26,0.49,0.37,-4.61,0.46,0.37,-4.72,7.03,7.62,1.75,0.57,0.74,-7.6,1.19,0.87,-10.74,135.84,130.76,134.89,15.19,14.31,6.28,11.41,13.15,7.85,10.68,10.74,4.73,15.19,14.31,6.28,6.27,6.13,2.7,12.52,11.94,5.34,0.55,0.47,0.34,14.49,12.44,8.83,0.94,0.82,0.6,1.33,1.09,0.8,10.26,-1.06,3.67,14.88,0.57,2.3,58.6,-8.97,-25.3,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
5,0,A067630,HLB생명과학,-2.92,-8.6,-6.8,-6.82,-14.95,-7.4,-5.37,-15.36,-8.66,-5.55,-15.07,-8.24,-13.69,-41.97,-35.42,-31.97,-73,-38.53,-25.17,-74.97,-45.08,312.8,551.4,337.04,-24.81,-72.12,-38.92,-9.68,-89.27,-17.63,-6.72,-18.58,-9.25,-24.81,-72.12,-38.92,-5.29,-14.77,-7.48,-8.73,-24.23,-14.22,0.55,0.17,0.42,14.49,2.77,4,0.69,0.21,0.53,2.56,0.81,2.21,-32.17,-18.52,-4.21,-27.7,-27.06,5.14,1.07,-78.03,121.79,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
6,0,A025900,동화기업,1.63,0.71,-0.19,0.32,0.83,-1.15,-0.12,0.06,-1.29,-0.34,-0.44,-1.77,3.07,1.45,-0.41,0.6,1.69,-2.51,-0.23,0.12,-2.83,99.08,107.89,135.24,1.76,2.9,1.87,2.38,4.16,2.05,1.78,2.47,1.33,1.57,2.55,1.58,0.84,1.26,0.72,3.11,3.9,1.97,0.35,0.3,0.35,43.06,39.98,47.76,0.75,0.59,0.65,0.66,0.61,0.77,29.7,7.23,-12.75,13.76,2.83,-21.23,3.5,-7.15,5.33,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
7,0,A007390,네이처셀,-3.39,-1.79,4.76,-7.37,-7.61,-7.12,-6.41,-7.44,-14.67,-6.61,-7.54,-14.75,-20.5,-5.5,11.74,-44.56,-23.37,-17.56,-38.72,-22.84,-36.18,227.53,187.83,113.68,-32.32,-19.32,-33.26,-5.94,-5.9,-11.04,-6.41,-9.34,-22.68,-32.32,-19.32,-33.26,-5.35,-6.3,-13.49,-9.35,-14.96,-36.83,0.9,1.07,1.22,1.84,2,1.76,1.08,1.58,2.05,5.44,3.27,3.01,-24.36,-11.01,-24.41,7.19,-5.27,-7.28,-22.9,19.35,7.36,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
8,0,A034230,파라다이스,7.07,10.09,11.67,9.16,11.97,12.5,4.51,8.97,9.5,4.36,8.56,9.42,9.21,13.94,16.35,11.93,16.53,17.52,5.88,12.39,13.32,32.45,42.4,38.26,7.46,14.78,17.42,11.02,16.99,19.11,24.59,35.91,36.59,7.46,13.67,14.68,5.72,9.9,10.48,159.33,152.21,138.41,0.52,0.58,0.55,7.95,11.02,13.21,2.23,2.11,1.92,0.68,0.81,0.77,18.56,69.77,10.27,6.24,39.7,18.66,16.19,38.64,19.87,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
9,0,A032500,케이엠더블유,-7.23,18.85,17.89,-12.27,18.48,19.69,-16.62,16.97,16.43,-16.19,16.32,16.05,-49.75,135.67,64.41,-84.4,133.04,70.89,-114.39,122.14,59.17,1443.16,389.85,188.48,-93.7,161.87,74.13,-17.62,15.93,15.24,-14.95,24.49,27.61,-87.92,151.82,71.8,-12.78,21.09,19.94,-20.47,36.1,41.74,0.73,1.32,1.31,18.76,36.34,39.49,0.85,1.54,1.81,4.99,9.53,4.71,19.01,-3.32,-12.39,-1.34,13.61,6.72,-5.02,93.65,8.68,3.62,3.13,2.79,16638,48791,77259,89.85,91.815,93.01,3.4,3.2,3.1,500,496.32,499.99,1159.25,1063.64,1049.5,0.081527687,-0.07092988,0.0719,1388937.2,1440111.4,1500819.1
